id,toa,qyes_total,qno_total,mask_prop,med_prop,group,final_score,status
335,,0.0,1.0,0.06666666666666667,0.0,,,not_infected
336,2.0,1.0,3.0,0.0,0.0,,,infected
337,7.0,0.0,5.0,0.2,0.0,,,infected
338,,0.0,3.0,0.13333333333333333,0.0,,,not_infected
339,,0.0,0.0,0.0,0.0,,,not_infected
340,2.0,0.0,13.0,0.2,0.0,,,infected
341,2.0,0.0,9.0,0.06666666666666667,0.0,,,infected
342,,0.0,0.0,0.0,0.0,,,not_infected
343,3.0,0.0,6.0,0.0,0.0,,,infected
344,,0.0,1.0,0.0,0.0,,,not_infected
345,1.0,0.0,3.0,0.13333333333333333,0.0,,,infected
346,5.0,4.0,2.0,0.06666666666666667,0.0,,,infected
347,,0.0,2.0,0.06666666666666667,0.0,,,not_infected
348,,0.0,0.0,0.06666666666666667,0.0,,,not_infected
349,2.0,3.0,2.0,0.13333333333333333,0.0,,,infected
350,3.0,1.0,7.0,0.0,0.0,,,infected
351,,1.0,0.0,0.0,0.0,,,not_infected
352,3.0,0.0,0.0,0.06666666666666667,0.0,,,infected
353,3.0,1.0,7.0,0.06666666666666667,0.0,,,infected
354,3.0,0.0,2.0,0.06666666666666667,0.0,,,infected
355,,1.0,0.0,0.06666666666666667,0.0,,,not_infected
356,3.0,0.0,0.0,0.0,0.0,,,infected
357,3.0,0.0,0.0,0.0,0.0,,,infected
358,7.0,4.0,1.0,0.13333333333333333,0.06666666666666667,,,infected
359,,1.0,0.0,0.2,0.0,,,not_infected
360,,1.0,0.0,0.0,0.0,,,not_infected
361,,0.0,7.0,0.06666666666666667,0.0,,,not_infected
362,4.0,0.0,5.0,0.13333333333333333,0.0,,,infected
363,,0.0,0.0,0.06666666666666667,0.0,,,not_infected
364,,2.0,0.0,0.06666666666666667,0.0,,,not_infected
365,8.0,0.0,3.0,0.0,0.0,,,infected
366,2.0,2.0,0.0,0.06666666666666667,0.0,,,infected
